"TLID","lat","lon","N","P","K","TY","Treatment","var","SoilType"
"326",8.927564559,9.3827566,68,10,19,3767,"N68,P10,K19","Sammaz 15","Sandy Loam"
"326",8.927564559,9.3827566,62,14,27,2536,"N62,P14,K27","Sammaz 15","Sandy Loam"
"326",8.927564559,9.3827566,67,20,0,2976,"N67,P20,K0","Sammaz 15","Sandy Loam"
"55",9.068506319,11.70891458,46,0,0,2047,"N46,P0,K0","Sammaz 15","Sandy Loam"
"55",9.068506319,11.70891458,68,10,19,3115,"N68,P10,K19","Sammaz 15","Sandy Loam"
"55",9.068506319,11.70891458,62,14,27,3513,"N62,P14,K27","Sammaz 15","Sandy Loam"
"55",9.068506319,11.70891458,67,20,0,4016,"N67,P20,K0","Sammaz 15","Sandy Loam"
"48",9.023191403,11.6504548,46,0,0,717,"N46,P0,K0","Sammaz 15","Sandy Loam"
"48",9.023191403,11.6504548,68,10,19,3600,"N68,P10,K19","Sammaz 15","Sandy Loam"
"48",9.023191403,11.6504548,62,14,27,3861,"N62,P14,K27","Sammaz 15","Sandy Loam"
"48",9.023191403,11.6504548,67,20,0,4216,"N67,P20,K0","Sammaz 15","Sandy Loam"
"319",9.551329335,9.190189625,46,0,0,3676,"N46,P0,K0","Sammaz 15","Sandy Loam"
"319",9.551329335,9.190189625,68,10,19,4027,"N68,P10,K19","Sammaz 15","Sandy Loam"
"319",9.551329335,9.190189625,62,14,27,4617,"N62,P14,K27","Sammaz 15","Sandy Loam"
"319",9.551329335,9.190189625,67,20,0,5495,"N67,P20,K0","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,46,0,0,1824,"N46,P0,K0","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,68,10,19,2371,"N68,P10,K19","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,62,14,27,2734,"N62,P14,K27","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,67,20,0,2225,"N67,P20,K0","Sammaz 15","Sandy Loam"
"121",11.0819927,6.960805229,46,0,0,1455,"N46,P0,K0","Sammaz 15","Sandy Loam"
"121",11.0819927,6.960805229,68,10,19,2734,"N68,P10,K19","Sammaz 15","Sandy Loam"
"121",11.0819927,6.960805229,62,14,27,2392,"N62,P14,K27","Sammaz 15","Sandy Loam"
"121",11.0819927,6.960805229,67,20,0,2229,"N67,P20,K0","Sammaz 15","Sandy Loam"
"116",11.09677665,6.949838072,46,0,0,1042,"N46,P0,K0","Sammaz 15","Sandy Loam"
"116",11.09677665,6.949838072,68,10,19,2540,"N68,P10,K19","Sammaz 15","Sandy Loam"
"116",11.09677665,6.949838072,62,14,27,1797,"N62,P14,K27","Sammaz 15","Sandy Loam"
"116",11.09677665,6.949838072,67,20,0,2790,"N67,P20,K0","Sammaz 15","Sandy Loam"
"120",11.14534426,6.957319817,46,0,0,1389,"N46,P0,K0","Sammaz 15","Sandy Loam"
"120",11.14534426,6.957319817,68,10,19,2779,"N68,P10,K19","Sammaz 15","Sandy Loam"
