"TLID","lat","lon","N","P","K","TY","Treatment","var","SoilType"
"39",9.014138953,11.62774949,68,10,19,5509,"N68,P10,K19","Sammaz 15","Sandy Loam"
"39",9.014138953,11.62774949,62,14,27,4351,"N62,P14,K27","Sammaz 15","Sandy Loam"
"39",9.014138953,11.62774949,67,20,0,5261,"N67,P20,K0","Sammaz 15","Sandy Loam"
"40",9.013671283,11.63097825,46,0,0,4846,"N46,P0,K0","Sammaz 15","Sandy Loam"
"40",9.013671283,11.63097825,68,10,19,6099,"N68,P10,K19","Sammaz 15","Sandy Loam"
"40",9.013671283,11.63097825,62,14,27,5610,"N62,P14,K27","Sammaz 15","Sandy Loam"
"40",9.013671283,11.63097825,67,20,0,5863,"N67,P20,K0","Sammaz 15","Sandy Loam"
"53",9.077809416,11.69824318,68,10,19,5052,"N68,P10,K19","Sammaz 15","Sandy Loam"
"53",9.077809416,11.69824318,62,14,27,6030,"N62,P14,K27","Sammaz 15","Sandy Loam"
"53",9.077809416,11.69824318,67,20,0,5607,"N67,P20,K0","Sammaz 15","Sandy Loam"
"52",9.015433792,11.69785488,46,0,0,5019,"N46,P0,K0","Sammaz 15","Sandy Loam"
"52",9.015433792,11.69785488,68,10,19,6227,"N68,P10,K19","Sammaz 15","Sandy Loam"
"52",9.015433792,11.69785488,62,14,27,6013,"N62,P14,K27","Sammaz 15","Sandy Loam"
"52",9.015433792,11.69785488,67,20,0,6259,"N67,P20,K0","Sammaz 15","Sandy Loam"
"50",9.026952889,11.66323213,46,0,0,5383,"N46,P0,K0","Sammaz 15","Sandy Loam"
"50",9.026952889,11.66323213,68,10,19,5837,"N68,P10,K19","Sammaz 15","Sandy Loam"
"50",9.026952889,11.66323213,62,14,27,7251,"N62,P14,K27","Sammaz 15","Sandy Loam"
"50",9.026952889,11.66323213,67,20,0,7503,"N67,P20,K0","Sammaz 15","Sandy Loam"
"292",8.545488497,9.036841764,68,10,19,5756,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"292",8.545488497,9.036841764,62,14,27,5236,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"292",8.545488497,9.036841764,67,20,0,5420,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"301",8.582443155,9.073421683,68,10,19,4877,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"301",8.582443155,9.073421683,62,14,27,4726,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"301",8.582443155,9.073421683,67,20,0,4496,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"302",8.585845829,9.074278079,68,10,19,5353,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"302",8.585845829,9.074278079,62,14,27,5236,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"302",8.585845829,9.074278079,67,20,0,4768,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"305",8.550485118,9.077101099,46,0,0,3194,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"305",8.550485118,9.077101099,68,10,19,3558,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"305",8.550485118,9.077101099,62,14,27,4324,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"305",8.550485118,9.077101099,67,20,0,4364,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"300",8.548152163,9.072176824,46,0,0,1930,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"300",8.548152163,9.072176824,68,10,19,2277,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"300",8.548152163,9.072176824,62,14,27,1089,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"300",8.548152163,9.072176824,67,20,0,3348,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"307",8.535935214,9.082578174,46,0,0,4124,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"307",8.535935214,9.082578174,68,10,19,6404,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"307",8.535935214,9.082578174,62,14,27,5958,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"307",8.535935214,9.082578174,67,20,0,5829,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"306",8.590686807,9.07780737,68,10,19,1186,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"306",8.590686807,9.07780737,62,14,27,1216,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"306",8.590686807,9.07780737,67,20,0,862,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"304",8.593151717,9.076576236,68,10,19,4648,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"304",8.593151717,9.076576236,62,14,27,5015,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"304",8.593151717,9.076576236,67,20,0,4592,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"298",8.551796437,9.069990978,46,0,0,4722,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"298",8.551796437,9.069990978,68,10,19,6390,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"298",8.551796437,9.069990978,62,14,27,6710,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"298",8.551796437,9.069990978,67,20,0,5582,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"303",8.545592545,9.074679723,68,10,19,4685,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"303",8.545592545,9.074679723,62,14,27,5881,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"303",8.545592545,9.074679723,67,20,0,4690,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"109",8.528139567,6.510626982,46,0,0,2330,"N46,P0,K0","Sammaz 15","Sandy Loam"
"109",8.528139567,6.510626982,68,10,19,3194,"N68,P10,K19","Sammaz 15","Sandy Loam"
"109",8.528139567,6.510626982,62,14,27,4105,"N62,P14,K27","Sammaz 15","Sandy Loam"
"109",8.528139567,6.510626982,67,20,0,3229,"N67,P20,K0","Sammaz 15","Sandy Loam"
"299",8.585548494,9.070312964,68,10,19,5197,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"299",8.585548494,9.070312964,62,14,27,5082,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"299",8.585548494,9.070312964,67,20,0,4834,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"297",8.517870852,9.065464818,46,0,0,5247,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"297",8.517870852,9.065464818,68,10,19,5295,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"297",8.517870852,9.065464818,62,14,27,5419,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"297",8.517870852,9.065464818,67,20,0,5192,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"105",9.134903061,6.186973498,46,0,0,1161,"N46,P0,K0","Sammaz 15","Sandy Loam"
"105",9.134903061,6.186973498,68,10,19,2730,"N68,P10,K19","Sammaz 15","Sandy Loam"
"105",9.134903061,6.186973498,62,14,27,4330,"N62,P14,K27","Sammaz 15","Sandy Loam"
"105",9.134903061,6.186973498,67,20,0,3525,"N67,P20,K0","Sammaz 15","Sandy Loam"
"104",9.136666556,6.185901756,46,0,0,2568,"N46,P0,K0","Sammaz 15","Sandy Loam"
"104",9.136666556,6.185901756,68,10,19,2632,"N68,P10,K19","Sammaz 15","Sandy Loam"
"104",9.136666556,6.185901756,62,14,27,2996,"N62,P14,K27","Sammaz 15","Sandy Loam"
"104",9.136666556,6.185901756,67,20,0,2456,"N67,P20,K0","Sammaz 15","Sandy Loam"
"108",8.529994754,6.507360997,46,0,0,1244,"N46,P0,K0","Sammaz 15","Sandy Loam"
"108",8.529994754,6.507360997,68,10,19,3841,"N68,P10,K19","Sammaz 15","Sandy Loam"
"108",8.529994754,6.507360997,62,14,27,5373,"N62,P14,K27","Sammaz 15","Sandy Loam"
"108",8.529994754,6.507360997,67,20,0,4524,"N67,P20,K0","Sammaz 15","Sandy Loam"
"103",9.091946149,6.160621113,46,0,0,1125,"N46,P0,K0","Sammaz 15","Sandy Loam"
"103",9.091946149,6.160621113,68,10,19,2535,"N68,P10,K19","Sammaz 15","Sandy Loam"
"103",9.091946149,6.160621113,62,14,27,2439,"N62,P14,K27","Sammaz 15","Sandy Loam"
"103",9.091946149,6.160621113,67,20,0,2851,"N67,P20,K0","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,46,0,0,1824,"N46,P0,K0","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,68,10,19,2371,"N68,P10,K19","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,62,14,27,2734,"N62,P14,K27","Sammaz 15","Sandy Loam"
"322",9.569465834,9.216180874,67,20,0,2225,"N67,P20,K0","Sammaz 15","Sandy Loam"
"287",9.647572308,9.03117145,46,0,0,1300,"N46,P0,K0","Sammaz 15","Sandy Loam"
"287",9.647572308,9.03117145,68,10,19,3416,"N68,P10,K19","Sammaz 15","Sandy Loam"
"287",9.647572308,9.03117145,62,14,27,4889,"N62,P14,K27","Sammaz 15","Sandy Loam"
"287",9.647572308,9.03117145,67,20,0,4410,"N67,P20,K0","Sammaz 15","Sandy Loam"
"290",9.642969979,9.035001723,46,0,0,2774,"N46,P0,K0","Sammaz 15","Sandy Loam"
"290",9.642969979,9.035001723,68,10,19,3622,"N68,P10,K19","Sammaz 15","Sandy Loam"
"290",9.642969979,9.035001723,62,14,27,5411,"N62,P14,K27","Sammaz 15","Sandy Loam"
"290",9.642969979,9.035001723,67,20,0,5351,"N67,P20,K0","Sammaz 15","Sandy Loam"
"289",9.650883386,9.034110465,46,0,0,1430,"N46,P0,K0","Sammaz 15","Sandy Loam"
"289",9.650883386,9.034110465,68,10,19,2395,"N68,P10,K19","Sammaz 15","Sandy Loam"
"289",9.650883386,9.034110465,62,14,27,1435,"N62,P14,K27","Sammaz 15","Sandy Loam"
"289",9.650883386,9.034110465,67,20,0,1644,"N67,P20,K0","Sammaz 15","Sandy Loam"
"288",9.650266488,9.031812775,46,0,0,1890,"N46,P0,K0","Sammaz 15","Sandy Loam"
"288",9.650266488,9.031812775,68,10,19,3754,"N68,P10,K19","Sammaz 15","Sandy Loam"
"288",9.650266488,9.031812775,62,14,27,4748,"N62,P14,K27","Sammaz 15","Sandy Loam"
"288",9.650266488,9.031812775,67,20,0,4378,"N67,P20,K0","Sammaz 15","Sandy Loam"
"294",9.64594025,9.042571214,46,0,0,1444,"N46,P0,K0","Sammaz 15","Sandy Loam"
"294",9.64594025,9.042571214,68,10,19,3761,"N68,P10,K19","Sammaz 15","Sandy Loam"
"294",9.64594025,9.042571214,62,14,27,4027,"N62,P14,K27","Sammaz 15","Sandy Loam"
"294",9.64594025,9.042571214,67,20,0,3762,"N67,P20,K0","Sammaz 15","Sandy Loam"
"293",9.645524007,9.039312884,46,0,0,1810,"N46,P0,K0","Sammaz 15","Sandy Loam"
"293",9.645524007,9.039312884,68,10,19,1926,"N68,P10,K19","Sammaz 15","Sandy Loam"
"293",9.645524007,9.039312884,62,14,27,1435,"N62,P14,K27","Sammaz 15","Sandy Loam"
"293",9.645524007,9.039312884,67,20,0,2194,"N67,P20,K0","Sammaz 15","Sandy Loam"
"291",9.643984097,9.035506848,46,0,0,1514,"N46,P0,K0","Sammaz 15","Sandy Loam"
"291",9.643984097,9.035506848,68,10,19,3564,"N68,P10,K19","Sammaz 15","Sandy Loam"
"291",9.643984097,9.035506848,62,14,27,5696,"N62,P14,K27","Sammaz 15","Sandy Loam"
"291",9.643984097,9.035506848,67,20,0,5367,"N67,P20,K0","Sammaz 15","Sandy Loam"
"285",9.602605759,9.015750993,46,0,0,449,"N46,P0,K0","Sammaz 15","Sandy Loam"
"285",9.602605759,9.015750993,68,10,19,1515,"N68,P10,K19","Sammaz 15","Sandy Loam"
"285",9.602605759,9.015750993,62,14,27,1763,"N62,P14,K27","Sammaz 15","Sandy Loam"
"285",9.602605759,9.015750993,67,20,0,2305,"N67,P20,K0","Sammaz 15","Sandy Loam"
"286",9.612894381,9.018724203,46,0,0,1199,"N46,P0,K0","Sammaz 15","Sandy Loam"
"286",9.612894381,9.018724203,68,10,19,1459,"N68,P10,K19","Sammaz 15","Sandy Loam"
"286",9.612894381,9.018724203,62,14,27,1732,"N62,P14,K27","Sammaz 15","Sandy Loam"
"286",9.612894381,9.018724203,67,20,0,2218,"N67,P20,K0","Sammaz 15","Sandy Loam"
"321",9.570425626,9.213679102,46,0,0,1563,"N46,P0,K0","Sammaz 15","Sandy Loam"
"321",9.570425626,9.213679102,62,14,27,2109,"N62,P14,K27","Sammaz 15","Sandy Loam"
"321",9.570425626,9.213679102,67,20,0,2286,"N67,P20,K0","Sammaz 15","Sandy Loam"
"318",9.560714571,9.184761536,46,0,0,2489,"N46,P0,K0","Sammaz 15","Sandy Loam"
"318",9.560714571,9.184761536,68,10,19,3919,"N68,P10,K19","Sammaz 15","Sandy Loam"
"318",9.560714571,9.184761536,62,14,27,4686,"N62,P14,K27","Sammaz 15","Sandy Loam"
"318",9.560714571,9.184761536,67,20,0,4112,"N67,P20,K0","Sammaz 15","Sandy Loam"
"320",9.548181147,9.193640308,46,0,0,1994,"N46,P0,K0","Sammaz 15","Sandy Loam"
"320",9.548181147,9.193640308,68,10,19,3619,"N68,P10,K19","Sammaz 15","Sandy Loam"
"320",9.548181147,9.193640308,62,14,27,4553,"N62,P14,K27","Sammaz 15","Sandy Loam"
"320",9.548181147,9.193640308,67,20,0,4572,"N67,P20,K0","Sammaz 15","Sandy Loam"
"344",8.576740341,9.957481877,68,10,19,3147,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"344",8.576740341,9.957481877,62,14,27,3083,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"335",8.5878226,9.944604761,68,10,19,2669,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"335",8.5878226,9.944604761,62,14,27,3116,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"335",8.5878226,9.944604761,67,20,0,2768,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"342",8.584243491,9.953755615,68,10,19,3002,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"342",8.584243491,9.953755615,62,14,27,2568,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"342",8.584243491,9.953755615,67,20,0,2621,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"339",8.573926002,9.953110867,46,0,0,1050,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"339",8.573926002,9.953110867,68,10,19,2765,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"339",8.573926002,9.953110867,62,14,27,3015,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"339",8.573926002,9.953110867,67,20,0,3136,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"334",8.597004228,9.908200843,68,10,19,3068,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"334",8.597004228,9.908200843,62,14,27,2490,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"334",8.597004228,9.908200843,67,20,0,3068,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"340",8.551441828,9.953251817,46,0,0,1983,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"340",8.551441828,9.953251817,68,10,19,3627,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"340",8.551441828,9.953251817,62,14,27,3553,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"340",8.551441828,9.953251817,67,20,0,3162,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"337",8.532017623,9.952054954,46,0,0,1034,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"337",8.532017623,9.952054954,68,10,19,2526,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"337",8.532017623,9.952054954,62,14,27,2211,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"337",8.532017623,9.952054954,67,20,0,2424,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"336",8.526921374,9.950023502,68,10,19,2231,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"336",8.526921374,9.950023502,62,14,27,2745,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"336",8.526921374,9.950023502,67,20,0,2755,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"343",8.537799705,9.956078559,46,0,0,1090,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"343",8.537799705,9.956078559,68,10,19,2852,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"343",8.537799705,9.956078559,62,14,27,3164,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"343",8.537799705,9.956078559,67,20,0,5593,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"347",8.577942953,9.963192208,46,0,0,286,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"347",8.577942953,9.963192208,68,10,19,2549,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"347",8.577942953,9.963192208,62,14,27,2590,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"347",8.577942953,9.963192208,67,20,0,2926,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"341",8.573138681,9.953715425,46,0,0,2122,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"341",8.573138681,9.953715425,68,10,19,6047,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"341",8.573138681,9.953715425,62,14,27,5465,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"341",8.573138681,9.953715425,67,20,0,5996,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"346",8.549039792,9.960954665,46,0,0,1664,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"346",8.549039792,9.960954665,68,10,19,2485,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"346",8.549039792,9.960954665,62,14,27,2640,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"346",8.549039792,9.960954665,67,20,0,2868,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"338",8.530142221,9.952080158,46,0,0,3145,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"338",8.530142221,9.952080158,68,10,19,5855,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"338",8.530142221,9.952080158,62,14,27,6502,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"338",8.530142221,9.952080158,67,20,0,6178,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"345",8.536640898,9.958856432,46,0,0,1757,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"345",8.536640898,9.958856432,68,10,19,2746,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"345",8.536640898,9.958856432,62,14,27,2919,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"345",8.536640898,9.958856432,67,20,0,3043,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"329",8.922473752,9.399794625,46,0,0,1400,"N46,P0,K0","Sammaz 15","Sandy Loam"
"329",8.922473752,9.399794625,67,20,0,6477,"N67,P20,K0","Sammaz 15","Sandy Loam"
"324",8.889616736,9.380745258,46,0,0,3982,"N46,P0,K0","Sammaz 15","Sandy Loam"
"324",8.889616736,9.380745258,68,10,19,5273,"N68,P10,K19","Sammaz 15","Sandy Loam"
"324",8.889616736,9.380745258,67,20,0,5508,"N67,P20,K0","Sammaz 15","Sandy Loam"
"332",8.981701077,9.883657228,46,0,0,2933,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"332",8.981701077,9.883657228,68,10,19,3750,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"333",8.98075217,9.884513055,46,0,0,2399,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"333",8.98075217,9.884513055,68,10,19,2823,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"327",8.888618465,9.384416565,46,0,0,1959,"N46,P0,K0","Sammaz 15","Sandy Loam"
"327",8.888618465,9.384416565,68,10,19,3738,"N68,P10,K19","Sammaz 15","Sandy Loam"
"327",8.888618465,9.384416565,62,14,27,3673,"N62,P14,K27","Sammaz 15","Sandy Loam"
"327",8.888618465,9.384416565,67,20,0,4544,"N67,P20,K0","Sammaz 15","Sandy Loam"
"328",8.926722111,9.386223376,46,0,0,1451,"N46,P0,K0","Sammaz 15","Sandy Loam"
"328",8.926722111,9.386223376,68,10,19,2481,"N68,P10,K19","Sammaz 15","Sandy Loam"
"328",8.926722111,9.386223376,62,14,27,2929,"N62,P14,K27","Sammaz 15","Sandy Loam"
"328",8.926722111,9.386223376,67,20,0,3780,"N67,P20,K0","Sammaz 15","Sandy Loam"
"197",11.0736608,8.242481334,68,10,19,6778,"N68,P10,K19","Sammaz 15","Sandy Loam"
"197",11.0736608,8.242481334,62,14,27,7182,"N62,P14,K27","Sammaz 15","Sandy Loam"
"197",11.0736608,8.242481334,67,20,0,7577,"N67,P20,K0","Sammaz 15","Sandy Loam"
"96",9.650699628,6.09025747,68,10,19,4960,"N68,P10,K19","Sammaz 15","Sandy Loam"
"96",9.650699628,6.09025747,62,14,27,6509,"N62,P14,K27","Sammaz 15","Sandy Loam"
"96",9.650699628,6.09025747,67,20,0,5231,"N67,P20,K0","Sammaz 15","Sandy Loam"
"100",9.658952106,6.121480235,46,0,0,2733,"N46,P0,K0","Sammaz 15","Sandy Loam"
"100",9.658952106,6.121480235,68,10,19,5645,"N68,P10,K19","Sammaz 15","Sandy Loam"
"100",9.658952106,6.121480235,62,14,27,4498,"N62,P14,K27","Sammaz 15","Sandy Loam"
"100",9.658952106,6.121480235,67,20,0,5933,"N67,P20,K0","Sammaz 15","Sandy Loam"
"85",9.672266024,6.056523473,68,10,19,2562,"N68,P10,K19","Sammaz 15","Sandy Loam"
"85",9.672266024,6.056523473,62,14,27,2995,"N62,P14,K27","Sammaz 15","Sandy Loam"
"85",9.672266024,6.056523473,67,20,0,3276,"N67,P20,K0","Sammaz 15","Sandy Loam"
"86",9.673725444,6.059092799,46,0,0,1383,"N46,P0,K0","Sammaz 15","Sandy Loam"
"86",9.673725444,6.059092799,68,10,19,3630,"N68,P10,K19","Sammaz 15","Sandy Loam"
"86",9.673725444,6.059092799,62,14,27,2808,"N62,P14,K27","Sammaz 15","Sandy Loam"
"86",9.673725444,6.059092799,67,20,0,3787,"N67,P20,K0","Sammaz 15","Sandy Loam"
"87",9.668683174,6.059176827,46,0,0,2172,"N46,P0,K0","Sammaz 15","Sandy Loam"
"87",9.668683174,6.059176827,68,10,19,4426,"N68,P10,K19","Sammaz 15","Sandy Loam"
"87",9.668683174,6.059176827,62,14,27,3935,"N62,P14,K27","Sammaz 15","Sandy Loam"
"87",9.668683174,6.059176827,67,20,0,4264,"N67,P20,K0","Sammaz 15","Sandy Loam"
"114",9.4133695,6.5836013,46,0,0,1172,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"114",9.4133695,6.5836013,68,10,19,3030,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"114",9.4133695,6.5836013,62,14,27,2901,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"114",9.4133695,6.5836013,67,20,0,4303,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"111",9.3776884,6.5433464,46,0,0,2120,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"111",9.3776884,6.5433464,68,10,19,4568,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"111",9.3776884,6.5433464,62,14,27,4084,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"111",9.3776884,6.5433464,67,20,0,3936,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"113",9.3977153,6.5789197,46,0,0,1128,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"113",9.3977153,6.5789197,68,10,19,1304,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"113",9.3977153,6.5789197,62,14,27,1511,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"113",9.3977153,6.5789197,67,20,0,1278,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"112",9.3951818,6.5780941,46,0,0,1642,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"112",9.3951818,6.5780941,68,10,19,2844,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"112",9.3951818,6.5780941,62,14,27,3434,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"112",9.3951818,6.5780941,67,20,0,3668,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"98",9.684813,6.0949049,46,0,0,3007,"N46,P0,K0","Sammaz 15","Sandy Loam"
"98",9.684813,6.0949049,68,10,19,2224,"N68,P10,K19","Sammaz 15","Sandy Loam"
"98",9.684813,6.0949049,62,14,27,4078,"N62,P14,K27","Sammaz 15","Sandy Loam"
"98",9.684813,6.0949049,67,20,0,4849,"N67,P20,K0","Sammaz 15","Sandy Loam"
"106",9.6579642,6.3893731,46,0,0,880,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"106",9.6579642,6.3893731,68,10,19,3968,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"106",9.6579642,6.3893731,62,14,27,2296,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"106",9.6579642,6.3893731,67,20,0,3631,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"76",10.24210969,5.980983708,62,14,27,4617,"N62,P14,K27","Sammaz 15","Sandy Loam"
"76",10.24210969,5.980983708,67,20,0,4352,"N67,P20,K0","Sammaz 15","Sandy Loam"
"83",10.30824801,6.010077762,46,0,0,2566,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"83",10.30824801,6.010077762,68,10,19,3711,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"83",10.30824801,6.010077762,62,14,27,3575,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"83",10.30824801,6.010077762,67,20,0,3817,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"82",10.30978535,6.009527786,46,0,0,1837,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"82",10.30978535,6.009527786,68,10,19,4450,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"82",10.30978535,6.009527786,62,14,27,4342,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"82",10.30978535,6.009527786,67,20,0,5481,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"73",10.26740189,5.9529359,46,0,0,1991,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"73",10.26740189,5.9529359,68,10,19,3377,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"73",10.26740189,5.9529359,62,14,27,3925,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"72",10.32532705,5.948100361,46,0,0,1715,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"72",10.32532705,5.948100361,68,10,19,3300,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"72",10.32532705,5.948100361,62,14,27,3880,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"72",10.32532705,5.948100361,67,20,0,3727,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"78",10.31472972,5.995520802,46,0,0,3060,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"78",10.31472972,5.995520802,68,10,19,2612,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
"78",10.31472972,5.995520802,62,14,27,3269,"N62,P14,K27","Sammaz 15","Sandy Clay Loam"
"78",10.31472972,5.995520802,67,20,0,3385,"N67,P20,K0","Sammaz 15","Sandy Clay Loam"
"77",10.26915264,5.98679858,46,0,0,2037,"N46,P0,K0","Sammaz 15","Sandy Clay Loam"
"77",10.26915264,5.98679858,68,10,19,4276,"N68,P10,K19","Sammaz 15","Sandy Clay Loam"
